Year,G,G,Coach,Offense,Defense,Team
2005,5,0.0,Dick Jauron,"Greg Olson, Ted Tollner",,Detroit Lions
2005,11,0.0,Steve Mariucci,"Greg Olson, Ted Tollner",Dick Jauron,Detroit Lions
2004,16,0.0,Steve Mariucci,Sherman Lewis,Dick Jauron,Detroit Lions
2003,16,0.0,Steve Mariucci,Sherman Lewis,Kurt Schottenheimer,Detroit Lions
2002,16,0.0,Marty Mornhinweg,Maurice Carthon,Kurt Schottenheimer,Detroit Lions
2001,16,0.0,Marty Mornhinweg,Maurice Carthon,Vince Tobin,Detroit Lions
2000,7,0.0,Gary Moeller,Sylvester Croom,Larry Peccatiello,Detroit Lions
2000,9,0.0,Bobby Ross,Sylvester Croom,Larry Peccatiello,Detroit Lions
1999,16,1.0,Bobby Ross,Sylvester Croom,Larry Peccatiello,Detroit Lions
1998,16,0.0,Bobby Ross,Sylvester Croom,Larry Peccatiello,Detroit Lions
1997,16,1.0,Bobby Ross,Sylvester Croom,Larry Peccatiello,Detroit Lions
1996,16,0.0,Wayne Fontes,Tom Moore,Jim Eddy,Detroit Lions
1995,16,1.0,Wayne Fontes,Tom Moore,Herb Paterra,Detroit Lions
1994,16,1.0,Wayne Fontes,Dave Levy,Herb Paterra,Detroit Lions
1993,16,1.0,Wayne Fontes,"Dan Henning, Dave Levy",Hank Bullough,Detroit Lions
1992,16,0.0,Wayne Fontes,Dan Henning,Woody Widenhofer,Detroit Lions
1991,16,2.0,Wayne Fontes,Dave Levy,Woody Widenhofer,Detroit Lions
1990,16,0.0,Wayne Fontes,Mouse Davis,Woody Widenhofer,Detroit Lions
1989,16,0.0,Wayne Fontes,Mouse Davis,Woody Widenhofer,Detroit Lions
1988,5,0.0,Wayne Fontes,"Bob Baker, Lew Carpenter",,Detroit Lions
1988,11,0.0,Darryl Rogers,"Bob Baker, Lew Carpenter",Wayne Fontes,Detroit Lions
1987,15,0.0,Darryl Rogers,Bob Baker,Wayne Fontes,Detroit Lions
1986,16,0.0,Darryl Rogers,Bob Baker,Wayne Fontes,Detroit Lions
1985,16,0.0,Darryl Rogers,Bob Baker,Wayne Fontes,Detroit Lions
1984,16,0.0,Monte Clark,Bill Nelsen,Ed Beard,Detroit Lions
1983,16,1.0,Monte Clark,Ted Marchibroda,Ed Beard,Detroit Lions
1982,9,1.0,Monte Clark,Ted Marchibroda,Maxie Baughan,Detroit Lions
1981,16,0.0,Monte Clark,Bob Schnelker,Maxie Baughan,Detroit Lions
1980,16,0.0,Monte Clark,Bob Schnelker,Maxie Baughan,Detroit Lions
1979,16,0.0,Monte Clark,Bob Schnelker,,Detroit Lions
1978,16,0.0,Monte Clark,Bob Schnelker,,Detroit Lions
1977,14,0.0,Tommy Hudspeth,Ed Hughes,Fritz Shurmur,Detroit Lions
1976,10,0.0,Tommy Hudspeth,Ken Shipp,,Detroit Lions
1976,4,0.0,Rick Forzano,Ken Shipp,,Detroit Lions
1975,14,0.0,Rick Forzano,,,Detroit Lions
1974,14,0.0,Rick Forzano,,,Detroit Lions
1973,14,0.0,Don McCafferty,,,Detroit Lions
1972,14,0.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1971,14,0.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1970,14,1.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1969,14,0.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1968,14,0.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1967,14,0.0,Joe Schmidt,Bill McPeak,Jim David,Detroit Lions
1966,14,0.0,Harry Gilmer,,,Detroit Lions
1965,14,0.0,Harry Gilmer,,,Detroit Lions
1964,14,0.0,George Wilson,,,Detroit Lions
1963,14,0.0,George Wilson,,,Detroit Lions
1962,14,0.0,George Wilson,,Don Shula,Detroit Lions
1961,14,0.0,George Wilson,,Don Shula,Detroit Lions
1960,12,0.0,George Wilson,,,Detroit Lions
1959,12,0.0,George Wilson,,Buster Ramsey,Detroit Lions
1958,12,0.0,George Wilson,,Buster Ramsey,Detroit Lions
1957,12,2.0,George Wilson,,Buster Ramsey,Detroit Lions
1956,12,0.0,Buddy Parker,,Buster Ramsey,Detroit Lions
1955,12,0.0,Buddy Parker,,Buster Ramsey,Detroit Lions
1954,12,1.0,Buddy Parker,,Buster Ramsey,Detroit Lions
1953,12,1.0,Buddy Parker,,Buster Ramsey,Detroit Lions
1952,12,2.0,Buddy Parker,,Buster Ramsey,Detroit Lions
1951,12,0.0,Buddy Parker,,,Detroit Lions
1950,12,0.0,Bo McMillin,,,Detroit Lions
1949,12,0.0,Bo McMillin,,,Detroit Lions
1948,12,0.0,Bo McMillin,,,Detroit Lions
1947,12,0.0,Gus Dorais,,,Detroit Lions
1946,11,0.0,Gus Dorais,,,Detroit Lions
1945,10,0.0,Gus Dorais,,,Detroit Lions
1944,10,0.0,Gus Dorais,,,Detroit Lions
1943,10,0.0,Gus Dorais,,,Detroit Lions
1942,8,0.0,Bull Karcis,,,Detroit Lions
1942,3,0.0,Bill Edwards,,,Detroit Lions
1941,11,0.0,Bill Edwards,,,Detroit Lions
1940,11,0.0,Potsy Clark,,,Detroit Lions
1939,11,0.0,Gus Henderson,,,Detroit Lions
1938,11,0.0,Dutch Clark,,,Detroit Lions
1937,11,0.0,Dutch Clark,,,Detroit Lions
1936,12,0.0,Potsy Clark,,,Detroit Lions
1935,12,1.0,Potsy Clark,,,Detroit Lions
1934,13,0.0,Potsy Clark,,,Detroit Lions
1933,11,0.0,Potsy Clark,,,Detroit Lions
1932,12,0.0,Potsy Clark,,,Detroit Lions
1931,14,0.0,Potsy Clark,,,Detroit Lions
1930,14,0.0,Hal Griffen,,,Detroit Lions
2025,6,,Matt LaFleur,Adam Stenavich,Jeff Hafley,Green Bay Packers
2024,17,1.0,Matt LaFleur,Adam Stenavich,Jeff Hafley,Green Bay Packers
2023,17,2.0,Matt LaFleur,Adam Stenavich,Joe Barry,Green Bay Packers
2022,17,,Matt LaFleur,Adam Stenavich,Joe Barry,Green Bay Packers
2021,17,1.0,Matt LaFleur,Nathaniel Hackett,Joe Barry,Green Bay Packers
2020,16,2.0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Green Bay Packers
2019,16,2.0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Green Bay Packers
2018,4,,Joe Philbin,,Mike Pettine,Green Bay Packers
2018,12,,Mike McCarthy,Joe Philbin,Mike Pettine,Green Bay Packers
2017,16,,Mike McCarthy,Edgar Bennett,Dom Capers,Green Bay Packers
2016,16,3.0,Mike McCarthy,Edgar Bennett,Dom Capers,Green Bay Packers
2015,16,2.0,Mike McCarthy,Edgar Bennett,Dom Capers,Green Bay Packers
2014,16,2.0,Mike McCarthy,Tom Clements,Dom Capers,Green Bay Packers
2013,16,1.0,Mike McCarthy,Tom Clements,Dom Capers,Green Bay Packers
2012,16,2.0,Mike McCarthy,Tom Clements,Dom Capers,Green Bay Packers
2011,16,1.0,Mike McCarthy,Joe Philbin,Dom Capers,Green Bay Packers
2010,16,4.0,Mike McCarthy,Joe Philbin,Dom Capers,Green Bay Packers
2009,16,1.0,Mike McCarthy,Joe Philbin,Dom Capers,Green Bay Packers
2008,16,0.0,Mike McCarthy,Joe Philbin,Bob Sanders,Green Bay Packers
2007,16,2.0,Mike McCarthy,Joe Philbin,Bob Sanders,Green Bay Packers
2006,16,0.0,Mike McCarthy,Jeff Jagodzinski,Bob Sanders,Green Bay Packers
2005,16,0.0,Mike Sherman,Tom Rossley,Jim Bates,Green Bay Packers
2004,16,1.0,Mike Sherman,Tom Rossley,Bob Slowik,Green Bay Packers
2003,16,2.0,Mike Sherman,Tom Rossley,Ed Donatell,Green Bay Packers
2002,16,1.0,Mike Sherman,Tom Rossley,Ed Donatell,Green Bay Packers
2001,16,2.0,Mike Sherman,Tom Rossley,Ed Donatell,Green Bay Packers
2000,16,0.0,Mike Sherman,Tom Rossley,Ed Donatell,Green Bay Packers
1999,16,0.0,Ray Rhodes,Sherman Lewis,Emmitt Thomas,Green Bay Packers
1998,16,1.0,Mike Holmgren,Sherman Lewis,Fritz Shurmur,Green Bay Packers
1997,16,3.0,Mike Holmgren,Sherman Lewis,Fritz Shurmur,Green Bay Packers
1996,16,3.0,Mike Holmgren,Sherman Lewis,Fritz Shurmur,Green Bay Packers
1995,16,3.0,Mike Holmgren,Sherman Lewis,Fritz Shurmur,Green Bay Packers
1994,16,2.0,Mike Holmgren,Sherman Lewis,Fritz Shurmur,Green Bay Packers
1993,16,2.0,Mike Holmgren,Sherman Lewis,Ray Rhodes,Green Bay Packers
1992,16,0.0,Mike Holmgren,Sherman Lewis,Ray Rhodes,Green Bay Packers
1991,16,0.0,Lindy Infante,,Hank Bullough,Green Bay Packers
1990,16,0.0,Lindy Infante,,Hank Bullough,Green Bay Packers
1989,16,0.0,Lindy Infante,,Hank Bullough,Green Bay Packers
1988,16,0.0,Lindy Infante,,Hank Bullough,Green Bay Packers
1987,15,0.0,Forrest Gregg,,Dick Modzelewski,Green Bay Packers
1986,16,0.0,Forrest Gregg,,Dick Modzelewski,Green Bay Packers
1985,16,0.0,Forrest Gregg,Bob Schnelker,Dick Modzelewski,Green Bay Packers
1984,16,0.0,Forrest Gregg,Bob Schnelker,Dick Modzelewski,Green Bay Packers
1983,16,0.0,Bart Starr,Bob Schnelker,John Meyer,Green Bay Packers
1982,9,2.0,Bart Starr,Bob Schnelker,John Meyer,Green Bay Packers
1981,16,0.0,Bart Starr,,John Meyer,Green Bay Packers
1980,16,0.0,Bart Starr,,John Meyer,Green Bay Packers
1979,16,0.0,Bart Starr,,Dave Hanner,Green Bay Packers
1978,16,0.0,Bart Starr,,Dave Hanner,Green Bay Packers
1977,14,0.0,Bart Starr,,Dave Hanner,Green Bay Packers
1976,14,0.0,Bart Starr,Paul Roach,Dave Hanner,Green Bay Packers
1975,14,0.0,Bart Starr,Paul Roach,Dave Hanner,Green Bay Packers
1974,14,0.0,Dan Devine,,Dave Hanner,Green Bay Packers
1973,14,0.0,Dan Devine,,Dave Hanner,Green Bay Packers
1972,14,1.0,Dan Devine,,Dave Hanner,Green Bay Packers
1971,14,0.0,Dan Devine,,,Green Bay Packers
1970,14,0.0,Phil Bengtson,,,Green Bay Packers
1969,14,0.0,Phil Bengtson,,,Green Bay Packers
1968,14,0.0,Phil Bengtson,,,Green Bay Packers
1967,14,3.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1966,14,2.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1965,14,2.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1964,14,0.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1963,14,0.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1962,14,1.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1961,14,1.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1960,12,1.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1959,12,0.0,Vince Lombardi,,Phil Bengtson,Green Bay Packers
1958,12,0.0,Ray McLean,,Ray Richards,Green Bay Packers
1957,12,0.0,Lisle Blackbourn,,,Green Bay Packers
1956,12,0.0,Lisle Blackbourn,,,Green Bay Packers
1955,12,0.0,Lisle Blackbourn,,,Green Bay Packers
1954,12,0.0,Lisle Blackbourn,,,Green Bay Packers
1953,2,0.0,Hugh Devore,,,Green Bay Packers
1953,2,0.0,Ray McLean,,,Green Bay Packers
1953,10,0.0,Gene Ronzani,,,Green Bay Packers
1952,12,0.0,Gene Ronzani,,,Green Bay Packers
1951,12,0.0,Gene Ronzani,,,Green Bay Packers
1950,12,0.0,Gene Ronzani,,,Green Bay Packers
1949,12,0.0,Curly Lambeau,,,Green Bay Packers
1948,12,0.0,Curly Lambeau,,,Green Bay Packers
1947,12,0.0,Curly Lambeau,,,Green Bay Packers
1946,11,0.0,Curly Lambeau,,,Green Bay Packers
1945,10,0.0,Curly Lambeau,,,Green Bay Packers
1944,10,1.0,Curly Lambeau,,,Green Bay Packers
1943,10,0.0,Curly Lambeau,,,Green Bay Packers
1942,11,0.0,Curly Lambeau,,,Green Bay Packers
1941,11,1.0,Curly Lambeau,,,Green Bay Packers
1940,11,0.0,Curly Lambeau,,,Green Bay Packers
1939,11,1.0,Curly Lambeau,,,Green Bay Packers
1938,11,1.0,Curly Lambeau,,,Green Bay Packers
1937,11,0.0,Curly Lambeau,,,Green Bay Packers
1936,12,1.0,Curly Lambeau,,,Green Bay Packers
1935,12,0.0,Curly Lambeau,,,Green Bay Packers
1934,13,0.0,Curly Lambeau,,,Green Bay Packers
1933,13,0.0,Curly Lambeau,,,Green Bay Packers
1932,14,0.0,Curly Lambeau,,,Green Bay Packers
1931,14,0.0,Curly Lambeau,,,Green Bay Packers
1930,14,0.0,Curly Lambeau,,,Green Bay Packers
1929,13,0.0,Curly Lambeau,,,Green Bay Packers
1928,13,0.0,Curly Lambeau,,,Green Bay Packers
1927,10,0.0,Curly Lambeau,,,Green Bay Packers
1926,13,0.0,Curly Lambeau,,,Green Bay Packers
1925,13,0.0,Curly Lambeau,,,Green Bay Packers
1924,11,0.0,Curly Lambeau,,,Green Bay Packers
1923,10,0.0,Curly Lambeau,,,Green Bay Packers
1922,10,0.0,Curly Lambeau,,,Green Bay Packers
1921,6,0.0,Curly Lambeau,,,Green Bay Packers
2025,6,,DeMeco Ryans,Nick Caley,Matt Burke,Houston Texans
2024,17,2.0,DeMeco Ryans,Bobby Slowik,Matt Burke,Houston Texans
2023,17,2.0,DeMeco Ryans,Bobby Slowik,Matt Burke,Houston Texans
2022,17,,Lovie Smith,Pep Hamilton,,Houston Texans
2021,17,,David Culley,Tim Kelly,Lovie Smith,Houston Texans
2020,12,,Romeo Crennel,Tim Kelly,Anthony Weaver,Houston Texans
2020,4,,Bill O'Brien,Tim Kelly,Anthony Weaver,Houston Texans
2019,16,2.0,Bill O'Brien,Tim Kelly,Romeo Crennel,Houston Texans
2018,16,1.0,Bill O'Brien,,Romeo Crennel,Houston Texans
2017,16,,Bill O'Brien,,Mike Vrabel,Houston Texans
2016,16,2.0,Bill O'Brien,George Godsey,Romeo Crennel,Houston Texans
2015,16,1.0,Bill O'Brien,George Godsey,Romeo Crennel,Houston Texans
2014,16,0.0,Bill O'Brien,,Romeo Crennel,Houston Texans
2013,3,0.0,Wade Phillips,Rick Dennison,,Houston Texans
2013,13,0.0,Gary Kubiak,Rick Dennison,Wade Phillips,Houston Texans
2012,16,2.0,Gary Kubiak,Rick Dennison,Wade Phillips,Houston Texans
2011,16,2.0,Gary Kubiak,Rick Dennison,Wade Phillips,Houston Texans
2010,16,0.0,Gary Kubiak,Rick Dennison,Frank Bush,Houston Texans
2009,16,0.0,Gary Kubiak,Kyle Shanahan,Frank Bush,Houston Texans
2008,16,0.0,Gary Kubiak,Kyle Shanahan,Richard Smith,Houston Texans
2007,16,0.0,Gary Kubiak,Mike Sherman,Richard Smith,Houston Texans
2006,16,0.0,Gary Kubiak,Troy Calhoun,Richard Smith,Houston Texans
2005,16,0.0,Dom Capers,"Chris Palmer, Joe Pendry",Vic Fangio,Houston Texans
2004,16,0.0,Dom Capers,Chris Palmer,Vic Fangio,Houston Texans
2003,16,0.0,Dom Capers,Chris Palmer,Vic Fangio,Houston Texans
2002,16,0.0,Dom Capers,Chris Palmer,Vic Fangio,Houston Texans
2025,7,,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Indianapolis Colts
2024,17,,Shane Steichen,Jim Bob Cooter,Gus Bradley,Indianapolis Colts
2023,17,,Shane Steichen,Jim Bob Cooter,Gus Bradley,Indianapolis Colts
2022,8,,Jeff Saturday,Marcus Brady,Gus Bradley,Indianapolis Colts
2022,9,,Frank Reich,Marcus Brady,Gus Bradley,Indianapolis Colts
2021,17,,Frank Reich,Marcus Brady,Matt Eberflus,Indianapolis Colts
2020,16,1.0,Frank Reich,Nick Sirianni,Matt Eberflus,Indianapolis Colts
2019,16,,Frank Reich,Nick Sirianni,Matt Eberflus,Indianapolis Colts
2018,16,2.0,Frank Reich,Nick Sirianni,Matt Eberflus,Indianapolis Colts
2017,16,,Chuck Pagano,Rob Chudzinski,Ted Monachino,Indianapolis Colts
2016,16,,Chuck Pagano,Rob Chudzinski,Ted Monachino,Indianapolis Colts
2015,16,,Chuck Pagano,"Rob Chudzinski, Pep Hamilton",Greg Manusky,Indianapolis Colts
2014,16,3.0,Chuck Pagano,Pep Hamilton,Greg Manusky,Indianapolis Colts
2013,16,2.0,Chuck Pagano,Pep Hamilton,Greg Manusky,Indianapolis Colts
2012,16,1.0,Chuck Pagano,Bruce Arians,Greg Manusky,Indianapolis Colts
2011,16,0.0,Jim Caldwell,Clyde Christensen,Larry Coyer,Indianapolis Colts
2010,16,1.0,Jim Caldwell,Clyde Christensen,Larry Coyer,Indianapolis Colts
2009,16,3.0,Jim Caldwell,Tom Moore,Larry Coyer,Indianapolis Colts
2008,16,1.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2007,16,1.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2006,16,4.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2005,16,1.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2004,16,2.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2003,16,3.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2002,16,1.0,Tony Dungy,Tom Moore,Ron Meeks,Indianapolis Colts
2001,16,0.0,Jim Mora,Tom Moore,Vic Fangio,Indianapolis Colts
2000,16,1.0,Jim Mora,Tom Moore,Vic Fangio,Indianapolis Colts
1999,16,1.0,Jim Mora,Tom Moore,Vic Fangio,Indianapolis Colts
1998,16,0.0,Jim Mora,Tom Moore,Rusty Tillman,Indianapolis Colts
1997,16,0.0,Lindy Infante,,Jim Johnson,Indianapolis Colts
1996,16,1.0,Lindy Infante,,Jim Johnson,Indianapolis Colts
1995,16,3.0,Ted Marchibroda,Lindy Infante,Jim Johnson,Indianapolis Colts
1994,16,0.0,Ted Marchibroda,Nick Nicolau,Jim Johnson,Indianapolis Colts
1993,16,0.0,Ted Marchibroda,Nick Nicolau,Rick Venturi,Indianapolis Colts
1992,16,0.0,Ted Marchibroda,Nick Nicolau,Rick Venturi,Indianapolis Colts
1991,11,0.0,Rick Venturi,"Leon Burtnett, Milt Jackson",,Indianapolis Colts
1991,5,0.0,Ron Meyer,"Leon Burtnett, Milt Jackson",Rick Venturi,Indianapolis Colts
1990,16,0.0,Ron Meyer,Larry Kennan,Bill Muir,Indianapolis Colts
1989,16,0.0,Ron Meyer,Larry Kennan,Bill Muir,Indianapolis Colts
1988,16,0.0,Ron Meyer,John Becker,George Hill,Indianapolis Colts
1987,15,1.0,Ron Meyer,John Becker,George Hill,Indianapolis Colts
1986,3,0.0,Ron Meyer,Billie Matthews,George Hill,Indianapolis Colts
1986,13,0.0,Rod Dowhower,Billie Matthews,George Hill,Indianapolis Colts
1985,16,0.0,Rod Dowhower,Billie Matthews,George Hill,Indianapolis Colts
1984,1,0.0,Hal Hunter,Zeke Bratkowski,Rick Venturi,Indianapolis Colts
1984,15,0.0,Frank Kush,Zeke Bratkowski,Rick Venturi,Indianapolis Colts
1983,16,0.0,Frank Kush,Zeke Bratkowski,,Indianapolis Colts
1982,9,0.0,Frank Kush,Zeke Bratkowski,Bud Carson,Indianapolis Colts
1981,16,0.0,Mike McCormack,,Chuck Weber,Indianapolis Colts
1980,16,0.0,Mike McCormack,,Chuck Weber,Indianapolis Colts
1979,16,0.0,Ted Marchibroda,,Maxie Baughan,Indianapolis Colts
1978,16,0.0,Ted Marchibroda,,Maxie Baughan,Indianapolis Colts
1977,14,1.0,Ted Marchibroda,,Maxie Baughan,Indianapolis Colts
1976,14,1.0,Ted Marchibroda,,Maxie Baughan,Indianapolis Colts
1975,14,1.0,Ted Marchibroda,,Maxie Baughan,Indianapolis Colts
1974,11,0.0,Joe Thomas,George Young,Don Doll,Indianapolis Colts
1974,3,0.0,Howard Schnellenberger,George Young,Don Doll,Indianapolis Colts
1973,14,0.0,Howard Schnellenberger,George Young,Dick Voris,Indianapolis Colts
1972,9,0.0,John Sandusky,John Idzik,,Indianapolis Colts
1972,5,0.0,Don McCafferty,John Idzik,,Indianapolis Colts
1971,14,2.0,Don McCafferty,John Idzik,,Indianapolis Colts
1970,14,3.0,Don McCafferty,John Idzik,,Indianapolis Colts
1969,14,0.0,Don Shula,,,Indianapolis Colts
1968,14,3.0,Don Shula,,,Indianapolis Colts
1967,14,0.0,Don Shula,,,Indianapolis Colts
1966,14,0.0,Don Shula,,,Indianapolis Colts
1965,14,1.0,Don Shula,,Charley Winner,Indianapolis Colts
1964,14,1.0,Don Shula,,Charley Winner,Indianapolis Colts
1963,14,0.0,Don Shula,,Charley Winner,Indianapolis Colts
1962,14,0.0,Weeb Ewbank,,,Indianapolis Colts
1961,14,0.0,Weeb Ewbank,,,Indianapolis Colts
1960,12,0.0,Weeb Ewbank,,,Indianapolis Colts
1959,12,1.0,Weeb Ewbank,,,Indianapolis Colts
1958,12,1.0,Weeb Ewbank,,,Indianapolis Colts
1957,12,0.0,Weeb Ewbank,,,Indianapolis Colts
1956,12,0.0,Weeb Ewbank,,,Indianapolis Colts
1955,12,0.0,Weeb Ewbank,,,Indianapolis Colts
1954,12,0.0,Weeb Ewbank,,,Indianapolis Colts
1953,12,0.0,Keith Molesworth,,,Indianapolis Colts
2025,7,,Liam Coen,Grant Udinski,Anthony Campanile,Jacksonville Jaguars
2024,17,,Doug Pederson,Press Taylor,Ryan Nielsen,Jacksonville Jaguars
2023,17,,Doug Pederson,Press Taylor,Mike Caldwell,Jacksonville Jaguars
2022,17,2.0,Doug Pederson,Press Taylor,Mike Caldwell,Jacksonville Jaguars
2021,4,,Darrell Bevell,,Joe Cullen,Jacksonville Jaguars
2021,13,,Urban Meyer,Darrell Bevell,Joe Cullen,Jacksonville Jaguars
2020,16,,Doug Marrone,Jay Gruden,Todd Wash,Jacksonville Jaguars
2019,16,,Doug Marrone,John DeFilippo,Todd Wash,Jacksonville Jaguars
2018,16,,Doug Marrone,Nathaniel Hackett,Todd Wash,Jacksonville Jaguars
2017,16,3.0,Doug Marrone,Nathaniel Hackett,Todd Wash,Jacksonville Jaguars
2016,2,,Doug Marrone,"Nathaniel Hackett, Greg Olson",Todd Wash,Jacksonville Jaguars
2016,14,0.0,Gus Bradley,"Nathaniel Hackett, Greg Olson",Todd Wash,Jacksonville Jaguars
2015,16,,Gus Bradley,Greg Olson,Bob Babich,Jacksonville Jaguars
2014,16,0.0,Gus Bradley,Jedd Fisch,Bob Babich,Jacksonville Jaguars
2013,16,0.0,Gus Bradley,Jedd Fisch,Bob Babich,Jacksonville Jaguars
2012,16,0.0,Mike Mularkey,Bob Bratkowski,Mel Tucker,Jacksonville Jaguars
2011,5,0.0,Mel Tucker,Dirk Koetter,,Jacksonville Jaguars
2011,11,0.0,Jack Del Rio,Dirk Koetter,Mel Tucker,Jacksonville Jaguars
2010,16,0.0,Jack Del Rio,Dirk Koetter,Mel Tucker,Jacksonville Jaguars
2009,16,0.0,Jack Del Rio,Dirk Koetter,Mel Tucker,Jacksonville Jaguars
2008,16,0.0,Jack Del Rio,Dirk Koetter,Gregg Williams,Jacksonville Jaguars
2007,16,2.0,Jack Del Rio,Dirk Koetter,Mike Smith,Jacksonville Jaguars
2006,16,0.0,Jack Del Rio,Carl Smith,Mike Smith,Jacksonville Jaguars
2005,16,1.0,Jack Del Rio,Carl Smith,Mike Smith,Jacksonville Jaguars
2004,16,0.0,Jack Del Rio,Bill Musgrave,Mike Smith,Jacksonville Jaguars
2003,16,0.0,Jack Del Rio,Bill Musgrave,Mike Smith,Jacksonville Jaguars
2002,16,0.0,Tom Coughlin,,John Pease,Jacksonville Jaguars
2001,16,0.0,Tom Coughlin,Bobby Petrino,Gary Moeller,Jacksonville Jaguars
2000,16,0.0,Tom Coughlin,,Dom Capers,Jacksonville Jaguars
1999,16,2.0,Tom Coughlin,,Dom Capers,Jacksonville Jaguars
1998,16,2.0,Tom Coughlin,Chris Palmer,Dick Jauron,Jacksonville Jaguars
1997,16,1.0,Tom Coughlin,Chris Palmer,Dick Jauron,Jacksonville Jaguars
1996,16,3.0,Tom Coughlin,Kevin Gilbride,Dick Jauron,Jacksonville Jaguars
1995,16,0.0,Tom Coughlin,Kevin Gilbride,Dick Jauron,Jacksonville Jaguars
2025,7,,Andy Reid,Matt Nagy,Steve Spagnuolo,Kansas City Chiefs
2024,17,3.0,Andy Reid,Matt Nagy,Steve Spagnuolo,Kansas City Chiefs
2023,17,4.0,Andy Reid,Matt Nagy,Steve Spagnuolo,Kansas City Chiefs
2022,17,3.0,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Kansas City Chiefs
2021,17,3.0,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Kansas City Chiefs
2020,16,3.0,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Kansas City Chiefs
2019,16,3.0,Andy Reid,Eric Bieniemy,Steve Spagnuolo,Kansas City Chiefs
2018,16,2.0,Andy Reid,Eric Bieniemy,Bob Sutton,Kansas City Chiefs
2017,16,1.0,Andy Reid,Matt Nagy,Bob Sutton,Kansas City Chiefs
2016,16,1.0,Andy Reid,Brad Childress,Bob Sutton,Kansas City Chiefs
2015,16,2.0,Andy Reid,Doug Pederson,Bob Sutton,Kansas City Chiefs
2014,16,0.0,Andy Reid,Doug Pederson,Bob Sutton,Kansas City Chiefs
2013,16,1.0,Andy Reid,Doug Pederson,Bob Sutton,Kansas City Chiefs
2012,16,0.0,Romeo Crennel,Brian Daboll,,Kansas City Chiefs
2011,3,0.0,Romeo Crennel,Bill Muir,,Kansas City Chiefs
2011,13,0.0,Todd Haley,Bill Muir,Romeo Crennel,Kansas City Chiefs
2010,16,1.0,Todd Haley,Charlie Weis,Romeo Crennel,Kansas City Chiefs
2009,16,0.0,Todd Haley,,Clancy Pendergast,Kansas City Chiefs
2008,16,0.0,Herm Edwards,Chan Gailey,Gunther Cunningham,Kansas City Chiefs
2007,16,0.0,Herm Edwards,Mike Solari,Gunther Cunningham,Kansas City Chiefs
2006,16,1.0,Herm Edwards,Mike Solari,Gunther Cunningham,Kansas City Chiefs
2005,16,0.0,Dick Vermeil,Al Saunders,Gunther Cunningham,Kansas City Chiefs
2004,16,0.0,Dick Vermeil,Al Saunders,Gunther Cunningham,Kansas City Chiefs
2003,16,1.0,Dick Vermeil,Al Saunders,Greg Robinson,Kansas City Chiefs
2002,16,0.0,Dick Vermeil,Al Saunders,Greg Robinson,Kansas City Chiefs
2001,16,0.0,Dick Vermeil,Al Saunders,Greg Robinson,Kansas City Chiefs
2000,16,0.0,Gunther Cunningham,Jimmy Raye,Kurt Schottenheimer,Kansas City Chiefs
1999,16,0.0,Gunther Cunningham,Jimmy Raye,Kurt Schottenheimer,Kansas City Chiefs
1998,16,0.0,Marty Schottenheimer,Jimmy Raye,Gunther Cunningham,Kansas City Chiefs
1997,16,1.0,Marty Schottenheimer,Paul Hackett,Gunther Cunningham,Kansas City Chiefs
1996,16,0.0,Marty Schottenheimer,Paul Hackett,Gunther Cunningham,Kansas City Chiefs
1995,16,1.0,Marty Schottenheimer,Paul Hackett,Gunther Cunningham,Kansas City Chiefs
1994,16,1.0,Marty Schottenheimer,Paul Hackett,Dave Adolph,Kansas City Chiefs
1993,16,3.0,Marty Schottenheimer,Paul Hackett,Dave Adolph,Kansas City Chiefs
1992,16,1.0,Marty Schottenheimer,Joe Pendry,Dave Adolph,Kansas City Chiefs
1991,16,2.0,Marty Schottenheimer,Joe Pendry,Bill Cowher,Kansas City Chiefs
